LANGUAGE,English,Czech,Comment

STRM_ONLOAD_MISSION,"Near the road","","On load mission
STRM_ONLOAD_INTRO,"Southern Kolguyev","","On load intro

STRM_14r01,"KAPLINSKY, TO THE FRONT AS A SPOTTER. RASHIV STAY CLOSE TO THAT AMMO CRATE. AND LAY LOW THEY MUST NOT KNOW WE'RE HERE! NOBODY MOVES UNTIL THE TANKS ARRIVE. I'LL WELCOME THEM WITH PIPE BOMBS, THEN WE RAIN HELL ON THEM WITH EVERYTHING WE HAVE.","",lemontov
STRM_14r02,"TANKS INCOMING. ABRAMS AND M60S. GET READY.","",kaplinksy
STRM_14r03,"THE SECOND WAVE, MAJOR! SIMILAR TO THE FIRST! DO WE HAVE ENOUGH FIREPOWER?","",kaplinsky
STRM_14r04,"DMITRI TO BAZA, THE TANKS WERE DESTROYED, OVER.","",lemontov
STRM_14r05,"UNDERSTOOD, DMITRI. BUT MORE ARE COMING. GET RID OF THEM TOO. BAZA OUT.",".",baza
STRM_14r06,"RIGHT, WE'RE NOT DONE YET. RASHIV, THERE ARE MINES IN THOSE CRATES. LAY THEM ON THE ROAD.","",lemontov
STRM_14r07,"THE'RE GETTING THROUGH! COME ON, STOP THEM!","",lemontov
STRM_14r08,"EXCELLENT JOB, RASHIV, EXCELLENT! THIS WILL PUT THEM BACK SEVERAL DAYS! GREAT WORK EVERYBODY!","",lemontov
STRM_14r09,"DAMN IT RASHIV, WHAT THE HELL HAVE YOU BEEN DOING? THEY'VE GOT THROUGH! AND GUESS WHOSE FAULT IS THAT!?","",lemontov
STRM_14r10,"KEEP CALM AND LET THEM CLOSER.","",lemontov

STRM_MARKER_TANKS,"Tanks","",tanks
