LANGUAGE,English,Czech,Comment

STRM_ONLOAD_MISSION,"Returning to Everon","",On load mission
STRM_ONLOAD_INTRO,"In the morning, northern Everon","",On load intro

STRM_33r01,"FORWARD, COMRADES! FOR THE SOVIET UNION, ATTACK!","",baza
STRM_33r02,"BAZA TO LEONID, THE ENEMY HAS AN ANTI-AIR GUN AROUND THE AIRPORT. ONCE YOU GET THERE, TAKE CARE OF IT, OTHERWISE ULYANA WON'T BE ABLE TO SUPPORT YOU FROM THE AIR. BAZA OUT.","",baza
STRM_33r03,"WE'VE BROKEN THEIR LINE OF DEFENCE. CONTINUE TO THE CITY AND SEIZE IT.","",rashiv
STRM_33r04,"SAINT PHILLIPPE IS OURS, COMRADES. TO ALL UNITS, ASSUME DEFENSIVE POSITIONS AND GET READY FOR ENEMY COUNTERATTACKS. I'M TAKING LEONID TO THE EAST.","",rashiv
STRM_33r05,"LEONID TO IVAN, WE'VE TAKEN SAINT PHILLIPPE, GET READY TO STRIKE AT THE BASE, OVER.","",rashiv 
STRM_33r06,"IVAN TO LEONID, WE'RE APPROACHING FROM THE SOUTH. GIVE US THE SIGNAL AND WE'LL ATTACK. OUT.","",ivan
STRM_33r07,"LEONID TO IVAN, TIME TO GO IN. WEAPONS FREE, OVER.","",rashiv
STRM_33r08,"SEE YOU IN THE BASE, LEONID. OUT.","',ivan
STRM_33r09,"WE'VE TAKEN THE BASE. IVAN, FORTIFY THE SOUTHERN ROAD. WE'LL REARM AND GO NORTH. OUT.","",rashiv
STRM_33r10,"LEONID TO ULYANA, YELENA AND FYODOR, GET READY, WE'RE ADVANCING FROM THE SOUTH TOWARDS THE AIRPORT. OUR ATTACK SHALL BEGIN SHORTLY. OVER.","",rashiv
STRM_33r11,"ULYANA TO LEONID, DO NOT FORGET ABOUT THE ANTI-AIR GUN. WE CANNOT RISK COMING NEAR THE AIRPORT UNTIL YOU DEAL WITH THEM. OVER.","",ulyana
STRM_33r12,"YELENA TO LEONID, WE'VE SECURED A BEACHHEAD. READY TO ADVANCE ON YOUR SIGNAL. OUT.","",yelena
STRM_33r13,"FYODOR TO LEONID, WE'RE ENGAGING THE ENEMY AT THE CHAPEL. WE SHOULD BE READY IN TIME FOR YOUR SIGNAL. OUT.","",fyodor
STRM_33r14,"BAZA TO LEONID, WATCH OUT FOR THAT ANTI-AIR GUN, IT HAS POTENTIAL TO TEAR YOU TO SHREDS. WE SUGGEST YOU TAKE CARE OF IT OR AT LEAST LOCATE IT BEFORE ATTACKING THE AIRPORT. BAZA OUT.","",baza
STRM_33r15,"LEONID TO YELENA, FYODOR AND ULYANA, IT IS TIME TO TAKE THE AIRPORT. ONWARDS! OUT.","",rashiv
STRM_33r16,"BAZA TO LEONID, THE ANTI-AIR GUN AT THE AIRPORT HAS BEEN NEUTRALIZED. ULYANA IS NOW ABLE TO JOIN IN ON THE ATTACK. BAZA OUT.","",baza
STRM_33r17,"BAZA TO ALL UNITS, MISSION ACCOMPLISHED, THE AIRPORT IS OURS. THE RECONQUEST OF EVERON HAS BEGUN AND YOU DID YOUR PART. GOOD WORK, EVERYONE. BAZA OUT.","",baza


STRM_MARKER_IVAN,"Ivan","",ivan
STRM_MARKER_KONSTANTIN,"Konstantin","",konstantin
STRM_MARKER_ANTON,"Anton","",anton
STRM_MARKER_BORIS,"Boris","",boris
STRM_MARKER_ROMAN,"Roman","",Roman
STRM_MARKER_AA,"Anti-Air","",marker
STRM_MARKER_ULYANA,"Ulyana","",marker
STRM_MARKER_YELENA,"Yelena","",marker
STRM_MARKER_FYODOR,"Fyodor","",marker
STRM_MARKER_AIRPORT,"Airport","",marker

STRM_WAYPOINT_SAINT_PIERRE,"SEIZE SAINT PIERRE","",WAYPOINT
STRM_WAYPOINT_BASE,"SEIZE THE BASE","",WAYPOINT
STRM_WAYPOINT_AIRPORT,"AIRPORT","",WAYPOINT

STRM_RADIO_TEXT,"Attack Airport","",radio
STRM_RADIO_HINT,"0-0 - Radio menu\n1 - send code Anton","",radio hint
